row,col,full_name,first,last,team,pos,bye,is_dst,match_score,use_match,source_last,conf_last,raw_ocr_pos,raw_color_pos,raw_ocr_bye,raw_ocr_last,raw_ocr_team,raw_ocr_first
3,7,JAYDEN DANIELS,JAYDEN,DANIELS,WAS,QB,12,False,145.0,True,csv,145.0,SE,QB,,""" DANIELS",WAS,'
3,8,LAMAR JACKSON,LAMAR,JACKSON,BAL,QB,7,False,120.0,True,csv,120.0,,,,""" JACKSON",-BAL,
3,9,MIKE EVANS,MIKE,EVANS,TB,WR,9,False,145.0,True,csv,145.0,,WR,2,7 EVANS Ove .,TB,like '
4,0,JALEN HURTS,JALEN,HURTS,PHI,QB,9,False,64.44444444444444,True,csv,64.44444444444444,,,,~ BU ~*s,|,°
4,1,ZAY FLOWERS,ZAY,FLOWERS,BAL,WR,7,False,85.0,True,csv,85.0,,WR,,vers HILL OTe,,yreek
4,2,DK METCALF,DK,METCALF,PIT,WR,5,False,125.0,True,csv,125.0,,WR,,oMETCALE,| PT,DK
4,3,ISIAH PACHECO,ISIAH,PACHECO,KC,RB,10,False,135.0,True,csv,135.0,,RB,,- PACHECO -,| ‘,Isiah
4,4,jante,jante,,LAR,WR,,False,0.0,False,ocr,0.0,,WR,,,LAR,jante
4,5,JOE BURROW,JOE,BURROW,CIN,QB,10,False,81.36363636363637,True,csv,81.36363636363637,,QB,,~ HURTS |,dal,alien
4,6,JAYLEN WARREN,JAYLEN,WARREN,PIT,RB,5,False,130.0,True,csv,130.0,,RB,,~ WARREN _,res,yien
